id,referencia,marca,capacidad,ciudad,responsable
709,ACH01,Haceb,946,Sabaneta,Laura Toro
5214,ACH43,Kalley,1400,Medellín,Camila Builes
3762,ACH01,Haceb,520,Envigado,Yiyo Builes
1194,ACH22,Sony,182,Barbosa,Camila Builes
6092,ACH43,Haceb,1989,Envigado,Gandalf Toro
5026,ACH22,Haceb,1069,Sabaneta,Laura Toro
8998,ACH43,Kalley,1015,Sabaneta,Laura Toro
5256,ACH22,Haceb,679,Itagui,Yiyo Builes
8958,ACH01,Kalley,751,Envigado,Yiyo Builes
7509,ACH22,Sony,135,Medellín,Yiyo Builes
6029,ACH01,Sony,652,Envigado,Laura Toro
7644,ACH01,Kalley,1373,Medellín,Camila Builes
6224,ACH01,Haceb,1450,Sabaneta,Dante Builes
8929,ACH01,Haceb,1750,Itagui,Laura Toro
9275,ACH22,Kalley,233,Itagui,Gandalf Toro
8816,ACH22,Sony,178,Itagui,Camila Builes
2539,ACH22,Sony,1466,Medellín,Dante Builes
1173,ACH43,Sony,1792,Medellín,Camila Builes
4804,ACH01,Kalley,548,Sabaneta,Gandalf Toro
519,ACH22,Kalley,1284,Medellín,Camila Builes
7931,ACH22,Sony,1845,Sabaneta,Camila Builes
2977,ACH43,Sony,521,Barbosa,Yiyo Builes
4724,ACH43,Sony,599,Envigado,Yiyo Builes
5083,ACH01,Sony,1256,Sabaneta,Laura Toro
1797,ACH22,Sony,1065,Barbosa,Laura Toro
5442,ACH01,Sony,1168,Envigado,Dante Builes
5998,ACH22,Sony,861,Barbosa,Yiyo Builes
9629,ACH01,Kalley,1484,Sabaneta,Yiyo Builes
9922,ACH43,Haceb,1913,Medellín,Camila Builes
5564,ACH22,Sony,1648,Itagui,Laura Toro
7344,ACH43,Kalley,1098,Itagui,Laura Toro
8337,ACH22,Sony,1732,Medellín,Camila Builes
3896,ACH01,Kalley,1896,Sabaneta,Yiyo Builes
2520,ACH01,Haceb,1701,Barbosa,Yiyo Builes
5276,ACH22,Kalley,1075,Sabaneta,Yiyo Builes
4601,ACH22,Kalley,1314,Medellín,Yiyo Builes
3971,ACH01,Kalley,1323,Barbosa,Yiyo Builes
7146,ACH22,Kalley,1288,Envigado,Camila Builes
5438,ACH43,Kalley,1242,Envigado,Dante Builes
3951,ACH22,Sony,1307,Barbosa,Dante Builes
1745,ACH43,Kalley,1188,Barbosa,Laura Toro
7405,ACH22,Kalley,440,Sabaneta,Dante Builes
2539,ACH22,Kalley,297,Envigado,Yiyo Builes
9530,ACH43,Haceb,321,Barbosa,Yiyo Builes
3758,ACH01,Sony,1155,Envigado,Laura Toro
3874,ACH01,Haceb,412,Sabaneta,Laura Toro
6093,ACH22,Kalley,1794,Itagui,Gandalf Toro
6608,ACH01,Kalley,1163,Medellín,Laura Toro
2557,ACH22,Kalley,1077,Sabaneta,Yiyo Builes
6230,ACH43,Sony,871,Barbosa,Gandalf Toro
4025,ACH43,Sony,702,Sabaneta,Laura Toro
2470,ACH43,Sony,1266,Barbosa,Yiyo Builes
7477,ACH22,Haceb,555,Itagui,Gandalf Toro
6151,ACH43,Sony,1786,Itagui,Yiyo Builes
2105,ACH22,Sony,230,Itagui,Gandalf Toro
8826,ACH22,Haceb,1711,Medellín,Dante Builes
426,ACH01,Sony,1888,Sabaneta,Gandalf Toro
9686,ACH01,Kalley,1355,Sabaneta,Gandalf Toro
5251,ACH01,Haceb,1052,Sabaneta,Dante Builes
7059,ACH22,Haceb,1510,Itagui,Laura Toro
466,ACH01,Sony,569,Itagui,Yiyo Builes
2231,ACH22,Sony,1415,Envigado,Camila Builes
4801,ACH01,Sony,122,Barbosa,Yiyo Builes
6724,ACH22,Sony,1469,Barbosa,Dante Builes
2978,ACH01,Sony,1073,Barbosa,Yiyo Builes
6089,ACH22,Haceb,1131,Sabaneta,Laura Toro
5901,ACH43,Sony,1441,Medellín,Gandalf Toro
8101,ACH01,Kalley,1680,Sabaneta,Laura Toro
5031,ACH01,Haceb,130,Itagui,Camila Builes
